Field Year,Original sample no,Feature,Period,Feature Type,Light fraction wt.,Charcoal (g),Vol,Total Seed no,Total Seed Density,Millets,Luxury cereal,Bean,Millet %,LC %,Bean %,Foxtail millet,Broomcorn millet,Rice,Wheat,Barley,Beefsteak plant,soybean,azuki,Greenfoxtail,Other Setaria,Panic grass,Panic/manna,Echinocloa,Paniceae,Other grass,Kummerowia sp.,Lespedeza or Melilotus sp.,OtherWild  bean,Chenopod,Knotweed,Sorrel,Mosla,Mustard,Nightshade,Perslane,"Spurge, Borage",Hydrocharitaceae,Gailum sp.,viola sp.,Eleusine,Fimbristylis sp.,Burlush,Sedge,Bramble,Plum,hackberry,Chinese date,berry,grape,other rose family,Unknown seed,Nut,Tuber,Other vegetative,04 mm Done %,0.2mm Done %
02HYHW FX 105,Huizui W,T5 Layer 3,Erlitou,Cultural Layer,,0.8,12,107,8.92,56,3,6,52%,3%,6%,29,27,3,,,,6,,12,6,,4,,10,,,,,7,,,,,,,,,,,,,1,,,,,,,,,2,,,,,
2002,184,TEr2 Unit60 Ditch8 Prof18,Erlitou,Ditch,,0.34,6,3,0.50,1,0,0,33%,0%,0%,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,206,Ter1 Unit12-12A Ash ditch 2,Erlitou,Ditch,,0.83,6,363,60.50,97,1,7,27%,0%,2%,82,15,1,,,,2,,,71,24,,5,145,2,,,5,,,,,,,,,,,,,,,3,,,,,1,,,7,,,,,
2002,207,TEr2 Unit53A-54 Pro16,Erlitou,Ditch,,0.40,2,26,13.00,8,1,2,31%,4%,8%,8,,1,,,,,,,,4,,,4,,,,2,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,
2002,209,TEr2TP2 Con2 spit 4,Erlitou,Ditch,,0.94,12,62,5.17,20,0,1,32%,0%,2%,20,,,,,,1,,,12,2,,,19,2,,,,3,,,,,,,,,,,,,,,,,,,,,1,2,,,,,
2002,190,Ter2 Unit31 Profile9 Ash ditch5,Erlitou,Ditch,,1.07,3,31,10.33,6,1,11,19%,3%,35%,6,,1,,,,6,,,6,,3,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2002,192,Ter2 Unit38 TP1 Cont9B Spit4,Erlitou,Ditch,,0.61,9,41,4.56,10,1,0,24%,2%,0%,10,,1,,,,,,,3,,15,,9,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,196,Ter2 Unit 38 TP1 Cont 9A Spit 4,Erlitou,Ditch,,*,1,4,4.00,1,0,0,25%,0%,0%,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,210,Ter2 Pit23 Unit49 Profile15,Erlitou,Ditch,,0.42,7,12,1.71,2,0,0,17%,0%,0%,2,,,,,,,,,1,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2002,215,Ter2 Unit38 TP1 Cont3,Erlitou,Ditch,,*,6,11,1.83,1,0,2,9%,0%,18%,1,,,,,,2,,,1,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
